PLACE OF OCCURENCE,Type of Place,Year,Total,January,February,March,April,May,June,July,August,September,October,November,December
SOUTHERN LEYTE,Province,2022,"1,583",115,93,82,82,220,159,182,110,97,150,85,208
CITY OF TACLOBAN,City,2022,759,31,42,82,60,56,108,61,53,59,45,82,80
REGION IX (ZAMBOANGA PENINSULA),Region,2022,"14,748","1,356","1,886","1,602","1,097","1,289","1,243","1,133",989,928,"1,180",834,"1,211"
ZAMBOANGA DEL NORTE,Province,2022,"4,885",397,746,616,393,445,424,331,276,290,288,305,374
ZAMBOANGA DEL SUR,Province,2022,"4,447",481,599,555,322,358,335,361,244,279,401,210,302
ZAMBOANGA SIBUGAY,Province,2022,"2,659",256,239,234,179,161,261,230,267,200,236,149,247
CITY OF ISABELA,City,2022,238,18,6,16,9,112,13,16,8,7,7,6,20
CITY OF ZAMBOANGA,City,2022,"2,519",204,296,181,194,213,210,195,194,152,248,164,268
REGION X (NORTHERN MINDANAO),Region,2022,"23,456","1,666","2,855","2,909","1,644","1,767","2,147","1,680","1,535","1,769","1,885","1,245","2,354"
BUKIDNON,Province,2022,"7,660",656,960,698,682,627,739,462,562,623,653,412,586
CAMIGUIN,Province,2022,360,13,32,23,26,38,33,22,24,34,12,11,92
LANAO DEL NORTE,Province,2022,"2,592",187,216,939,176,109,153,111,98,101,299,70,133
MISAMIS OCCIDENTAL,Province,2022,"3,390",233,727,157,135,310,360,360,152,244,120,157,435
MISAMIS ORIENTAL,Province,2022,"4,038",276,435,555,238,267,429,320,260,229,332,205,492
CITY OF CAGAYAN DE ORO,City,2022,"3,987",193,378,415,288,290,293,292,327,343,363,304,501
CITY OF ILIGAN,City,2022,"1,429",108,107,122,99,126,140,113,112,195,106,86,115
REGION XI (DAVAO REGION),Region,2022,"23,865","1,964","2,150","2,202","1,775","1,685","2,388","1,867","1,913","2,023","1,864","1,392","2,642"
DAVAO DE ORO,Province,2022,"3,470",273,590,321,228,278,293,223,293,258,213,194,306
DAVAO DEL NORTE,Province,2022,"5,629",440,563,499,459,409,646,419,427,467,399,301,600
DAVAO DEL SUR,Province,2022,"3,251",340,196,306,279,233,325,287,217,247,303,155,363
DAVAO OCCIDENTAL,Province,2022,"1,059",118,57,149,130,76,88,98,87,87,62,32,75
DAVAO ORIENTAL,Province,2022,"2,461",158,226,357,218,159,255,199,147,197,137,109,299
CITY OF DAVAO,City,2022,"7,995",635,518,570,461,530,781,641,742,767,750,601,999
REGION XII (SOCCSKSARGEN),Region,2022,"17,956","1,577","2,002","1,517","1,233","1,118","1,683","1,094","1,275","1,397","1,627","1,181","2,252"
COTABATO,Province,2022,"5,581",506,496,503,341,290,530,331,445,406,602,494,637
SARANGANI,Province,2022,"2,240",239,341,166,153,143,242,148,125,166,163,197,157
SOUTH COTABATO,Province,2022,"4,545",368,404,437,336,323,403,311,308,312,431,266,646
SULTAN KUDARAT,Province,2022,"2,935",240,536,197,204,159,192,122,192,266,189,93,545
CITY OF GENERAL SANTOS,City,2022,"2,655",224,225,214,199,203,316,182,205,247,242,131,267
REGION XIII (Caraga),Region,2022,"12,603",744,"1,594","1,063","1,012",900,"1,367",968,864,"1,199",824,921,"1,147"
AGUSAN DEL NORTE,Province,2022,"1,876",106,178,301,97,111,232,118,88,152,117,133,243
AGUSAN DEL SUR,Province,2022,"3,299",250,575,270,392,211,270,219,168,248,164,277,255
DINAGAT ISLANDS,Province,2022,413,14,19,10,31,24,62,16,23,26,25,102,61
SURIGAO DEL NORTE,Province,2022,"2,379",100,151,144,143,222,306,161,171,372,196,121,292
SURIGAO DEL SUR,Province,2022,"3,193",175,552,210,229,211,327,332,305,290,194,222,146
CITY OF BUTUAN,City,2022,"1,443",99,119,128,120,121,170,122,109,111,128,66,150
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Region,2022,"3,432",463,388,490,177,286,408,267,215,222,151,135,230
BASILAN,Province,2022,248,21,14,22,17,18,97,15,10,13,5,4,12
LANAO DEL SUR,Province,2022,678,94,84,89,72,61,70,47,46,33,28,21,33
MAGUINDANAO,Province,2022,"1,931",246,252,315,82,133,177,141,123,132,101,81,148
SULU,Province,2022,384,70,20,46,4,46,51,44,26,18,10,19,30
TAWI-TAWI,Province,2022,191,32,18,18,2,28,13,20,10,26,7,10,7
TOTAL,,2023,"414,213","37,887","52,501","36,273","33,661","37,065","43,295","30,806","25,002","27,637","25,595","20,525","43,966"
NATIONAL CAPITAL REGION (NCR),Region,2023,"51,892","4,187","7,996","4,505","3,391","4,009","4,912","3,952","3,240","3,321","3,377","3,205","5,797"
City of Caloocan,City,2023,"5,736",457,"1,536",455,335,390,452,418,325,298,271,254,545
City of Las Piñas,City,2023,"2,549",215,218,341,207,223,220,196,151,158,137,238,245
City of Makati,City,2023,"1,799",176,164,183,109,158,151,178,132,105,136,132,175
City of Malabon,City,2023,953,80,134,74,41,65,97,170,58,51,52,39,92
City of Mandaluyong,City,2023,"1,042",74,159,87,70,99,97,81,54,74,75,83,89
City of Manila,City,2023,"8,564",792,901,797,550,800,937,677,508,597,573,528,904
City of Marikina,City,2023,"1,805",159,192,166,111,134,261,138,72,111,99,138,224
City of Muntinlupa,City,2023,"1,858",147,200,180,96,133,188,156,113,115,126,108,296
City of Navotas,City,2023,457,36,74,43,30,38,73,23,20,22,26,25,47
City of Parañaque,City,2023,"1,714",119,239,136,96,165,288,94,92,95,183,87,120
Pasay City,City,2023,"2,205",195,230,198,158,192,186,171,143,203,165,140,224
City of Pasig,City,2023,"2,288",176,162,210,167,167,225,191,171,200,204,191,224
Quezon City,City,2023,"15,901","1,198","3,082","1,220",994,"1,092","1,213","1,020","1,124",960,987,899,"2,112"
City of San Juan,City,2023,395,27,89,32,15,32,39,26,18,26,27,31,33
City of Taguig,City,2023,"1,765",98,245,139,227,102,192,124,90,104,112,103,229
City of Valenzuela,City,2023,"2,653",219,341,224,171,207,278,270,149,191,188,194,221
Pateros,City,2023,208,19,30,20,14,12,15,19,20,11,16,15,17
CORDILLERA ADMINISTRATIVE REGION (CAR),Region,2023,"8,539",902,820,776,961,783,737,610,473,480,488,440,"1,069"
ABRA,Province,2023,"1,071",119,144,83,150,102,67,50,28,38,31,55,204
APAYAO,Province,2023,540,33,106,20,51,76,65,54,27,21,39,13,35
BENGUET,Province,2023,"2,342",313,117,277,288,205,182,147,166,129,131,116,271
IFUGAO,Province,2023,"1,003",68,171,81,137,91,67,60,58,48,60,42,120
KALINGA,Province,2023,957,79,74,73,109,93,83,90,49,49,74,69,115
MOUNTAIN PROVINCE,Province,2023,777,88,57,67,83,63,102,68,42,47,46,35,79
CITY OF BAGUIO,Province,2023,"1,849",202,151,175,143,153,171,141,103,148,107,110,245
REGION I (ILOCOS REGION),Region,2023,"23,501","2,889","3,342","1,804","2,517","2,061","2,051","1,383",957,944,"1,078","1,005","3,470"
ILOCOS NORTE,Province,2023,"2,890",294,320,224,284,260,296,208,139,141,170,142,412
ILOCOS SUR,Province,2023,"3,346",385,376,238,367,309,281,223,144,132,113,195,583
LA UNION,Province,2023,"3,639",449,444,220,518,412,255,215,147,134,148,135,562
PANGASINAN,Province,2023,"13,626","1,761","2,202","1,122","1,348","1,080","1,219",737,527,537,647,533,"1,913"
REGION II (CAGAYAN VALLEY),Region,2023,"17,318","1,154","2,374","1,516","2,526","2,026","1,324","1,209","1,055",902,"1,254",567,"1,411"
BATANES,Province,2023,94,7,8,12,8,13,6,9,6,5,5,4,11
CAGAYAN,Province,2023,"5,320",391,539,360,694,972,480,466,313,215,276,184,430
ISABELA,Province,2023,"8,160",502,"1,369",848,"1,327",722,540,487,491,425,706,210,533
NUEVA VIZCAYA,Province,2023,"2,595",205,287,234,311,196,176,177,175,193,170,123,348
QUIRINO,Province,2023,"1,149",49,171,62,186,123,122,70,70,64,97,46,89
REGION III (CENTRAL LUZON),Region,2023,"47,684","4,556","6,086","4,554","4,167","4,320","4,685","3,122","2,429","2,733","2,756","2,514","5,762"
AURORA,Province,2023,"1,176",77,302,52,103,95,88,99,50,69,45,34,162
BATAAN,Province,2023,"3,090",265,398,246,206,255,425,208,157,161,261,138,370
BULACAN,Province,2023,"12,261","1,126","1,180","1,422",808,"1,057","1,394",888,622,852,720,705,"1,487"
NUEVA ECIJA,Province,2023,"9,410",846,"1,359",755,"1,200",968,835,521,497,408,470,466,"1,085"
PAMPANGA,Province,2023,"9,718","1,035","1,231",921,700,912,822,673,555,661,588,536,"1,084"
